"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.152814716,      -5.151580647,      -5.879901695,      -5.088523514,      -4.545648715
          0,           0,           1,      -4.597518761,      -4.437692598,      -4.612191156,      -4.496451819,       -3.98520534
          0,           0,           2,      -4.562939182,      -4.471719836,      -4.402876784,      -4.317990934,      -3.958520365
          0,           0,           3,      -4.514942746,      -4.453896767,       -4.30764852,      -4.185170216,      -3.908849108
          0,           0,           4,      -4.553754261,      -4.483010688,      -4.298467238,      -4.122607605,      -3.943574081
          0,           0,           5,      -4.618507954,      -4.580984839,      -4.346930145,      -4.130579679,      -4.018446206
          0,           0,           6,      -4.636212994,      -4.642102402,      -4.377210807,      -4.163606367,      -4.034268284
          0,           0,           7,      -4.649060106,      -4.647496211,      -4.413220889,      -4.203963016,      -4.035625965
          0,           0,           8,      -4.701557723,      -4.688730015,      -4.470741828,      -4.252418005,      -4.083158797
          0,           0,           9,      -4.777566658,      -4.767496614,       -4.55456624,      -4.315032984,      -4.158422141
          0,           0,          10,      -4.847728031,      -4.847892928,      -4.658399303,      -4.393050785,      -4.229576629
          0,           0,          11,      -4.915045755,      -4.918567964,      -4.772931676,      -4.484261382,      -4.296358591
          0,           0,          12,      -4.990862933,      -4.991606425,      -4.892103429,      -4.585336303,      -4.370027239
          0,           0,          13,      -5.070868327,       -5.07027577,      -5.011201856,      -4.695603016,      -4.447337135
          0,           0,          14,      -5.150935346,      -5.153392681,      -5.125999553,      -4.814429406,      -4.524959745
          0,           0,          15,      -5.235260683,      -5.242886908,      -5.235487763,      -4.940507189,      -4.607223548
          0,           0,          16,      -5.329955301,      -5.341867699,       -5.34404118,      -5.071517108,      -4.699956912
          0,           0,          17,      -5.436146577,      -5.449433484,      -5.456990171,      -5.204883879,      -4.804169525
          0,           0,          18,      -5.550915096,      -5.560724115,      -5.576515822,      -5.338149954,      -4.917154648
          0,           0,          19,      -5.671326172,        -5.6708437,      -5.702007832,      -5.468931242,      -5.036338452
