"iter", "L_N", "phi_rad"
1, 3418.839074323572, 0.011965936760132504
2, 3521.4692351281606, 0.012325142322948563
3, 4974.545736087176, 0.017410910076305124
4, 5018.898456104442, 0.017566144596365546
5, 5020.1426556149645, 0.017570499294652382
