"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -8.983563504,      -8.995303298,      -8.702868613,      -8.461036051,      -8.373331649
          0,           0,          64,      -9.029674119,      -9.052529479,      -8.748201034,      -8.504768089,      -8.421203541
          0,           0,          65,      -9.074847874,      -9.096859126,       -8.79617217,      -8.550723325,      -8.460726606
          0,           0,          66,      -9.119139668,      -9.131764442,      -8.844846902,      -8.597083328,      -8.499507847
          0,           0,          67,      -9.166114876,      -9.177789119,      -8.897714087,      -8.642127575,      -8.553743275
          0,           0,          68,      -9.209778012,      -9.227715748,      -8.948117173,      -8.693286765,      -8.598189407
          0,           0,          69,      -9.257241653,      -9.269958811,      -8.998716246,      -8.745190891,      -8.640551504
          0,           0,          70,       -9.30405891,      -9.306482699,      -9.047080713,      -8.795076413,      -8.682600255
          0,           0,          71,      -9.349583645,      -9.352912961,      -9.098194168,      -8.841706131,      -8.736449017
          0,           0,          72,       -9.39582998,      -9.404052225,      -9.145273514,      -8.892595783,      -8.783813739
          0,           0,          73,      -9.445907773,      -9.449007375,      -9.191576011,      -8.942808909,      -8.829124866
          0,           0,          74,      -9.493595905,      -9.492427757,      -9.237623928,       -8.99095945,      -8.874433877
          0,           0,          75,      -9.537155683,      -9.534074859,      -9.279609424,      -9.036115176,      -8.917518163
          0,           0,          76,      -9.582040714,      -9.578841526,      -9.318450471,      -9.077787812,       -8.96219585
          0,           0,          77,      -9.627197133,      -9.622317059,      -9.350314057,      -9.113532719,      -9.005043799
          0,           0,          78,      -9.676131192,      -9.678837084,      -9.393441179,      -9.150419763,       -9.06185764
          0,           0,          79,      -9.728546689,      -9.740195451,      -9.430949842,      -9.191446748,      -9.115011114
          0,           0,          80,      -9.780666155,      -9.789082412,      -9.469559751,      -9.233137886,      -9.162465923
          0,           0,          81,      -9.824643214,      -9.826708839,      -9.506714054,      -9.272327936,      -9.202402905
          0,           0,          82,      -9.868680736,      -9.874252412,      -9.551551685,      -9.311339339,      -9.253612547
          0,           0,          83,      -9.917613103,      -9.930005386,      -9.591483328,      -9.353857774,      -9.303364693
          0,           0,          84,      -9.968528171,      -9.978117452,      -9.632062502,      -9.395611768,      -9.350169276
          0,           0,          85,      -10.01176409,      -10.01539775,      -9.670638867,      -9.434023789,      -9.389512747
          0,           0,          86,      -10.05448475,      -10.06123535,      -9.716287275,      -9.472340393,      -9.438769094
          0,           0,          87,      -10.10056726,      -10.11407722,      -9.755796827,      -9.514446483,      -9.485638737
          0,           0,          88,      -10.14764603,       -10.1578676,      -9.796028062,      -9.556012559,      -9.529121482
          0,           0,          89,      -10.18708573,       -10.1901648,      -9.835048474,      -9.594683624,      -9.565043218
          0,           0,          90,      -10.22696696,      -10.23185168,      -9.881310425,      -9.633384319,      -9.611174164
          0,           0,          91,      -10.27182749,      -10.28237189,      -9.922268105,      -9.676481591,      -9.656554051
          0,           0,          92,        -10.317675,      -10.32472545,       -9.96481342,      -9.719779934,      -9.698944758
          0,           0,          93,      -10.35636567,       -10.3562255,      -10.00700264,        -9.7610967,      -9.734211462
          0,           0,          94,       -10.3958508,      -10.39807681,      -10.05549896,      -9.802017912,      -9.779847156
          0,           0,          95,      -10.44152741,      -10.44894052,       -10.0997469,      -9.848068425,      -9.825761884
          0,           0,          96,      -10.48829587,      -10.49244142,      -10.14594674,        -9.8950299,       -9.86902642
          0,           0,          97,      -10.52899627,      -10.52671699,      -10.19226225,      -9.940725872,      -9.906237757
          0,           0,          98,      -10.57028568,       -10.5711589,      -10.24338667,      -9.984867464,      -9.953759165
          0,           0,          99,      -10.61832927,      -10.62421295,      -10.29130172,      -10.03461024,      -10.00187267
          0,           0,         100,      -10.66782397,      -10.67104799,      -10.34122159,      -10.08561185,      -10.04773983
          0,           0,         101,      -10.71249171,      -10.71064902,      -10.39114174,      -10.13550256,       -10.0887907
          0,           0,         102,       -10.7567213,      -10.75854698,      -10.44422319,      -10.18236358,      -10.13950209
          0,           0,         103,      -10.80785111,      -10.81498703,      -10.49471186,      -10.23486023,      -10.19070206
          0,           0,         104,      -10.85925043,      -10.86456456,      -10.54534481,      -10.28758596,      -10.23836263
          0,           0,         105,       -10.9074334,      -10.90806105,      -10.59486305,      -10.33823925,      -10.28285247
          0,           0,         106,      -10.95499971,       -10.9596774,       -10.6478541,      -10.38524429,       -10.3371064
          0,           0,         107,      -11.00856615,       -11.0197288,      -10.69799658,      -10.43757887,      -10.39093556
          0,           0,         108,      -11.06224057,      -11.07211985,       -10.7478742,      -10.48985112,      -10.44081054
          0,           0,         109,      -11.11246573,      -11.11748789,      -10.79584774,      -10.53942796,       -10.4873215
          0,           0,         110,      -11.16261782,      -11.17103493,      -10.84913999,        -10.586135,      -10.54410646
          0,           0,         111,      -11.21677152,       -11.2318227,       -10.8987748,      -10.63776342,      -10.59875237
          0,           0,         112,      -11.26949523,      -11.28263853,      -10.94598431,       -10.6880192,      -10.64784185
          0,           0,         113,      -11.31766706,      -11.32439715,      -10.98803003,      -10.73321472,       -10.6925631
