"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -9.007700934,      -8.949775461,      -8.733620481,      -8.465996161,      -8.379372363
          0,           0,          64,      -9.059044544,      -9.006785031,      -8.787748298,      -8.513876893,      -8.435170874
          0,           0,          65,      -9.111747025,       -9.06424027,      -8.836334724,       -8.56458296,      -8.488252363
          0,           0,          66,      -9.159225806,      -9.110470054,      -8.882218599,      -8.613420862,      -8.533911246
          0,           0,          67,      -9.200082912,      -9.145802764,      -8.921526138,      -8.657328263,      -8.573095858
          0,           0,          68,      -9.248502317,      -9.197679577,      -8.970542067,       -8.70070873,      -8.627104179
          0,           0,          69,       -9.30014955,      -9.252320781,      -9.014340751,      -8.747810096,       -8.67955073
          0,           0,          70,      -9.346170548,      -9.295612539,      -9.057356106,      -8.793734003,      -8.723567556
          0,           0,          71,      -9.384686857,      -9.328947518,      -9.096438578,      -8.835831879,      -8.760081974
          0,           0,          72,      -9.428227282,      -9.375916763,      -9.142638133,      -8.876464681,      -8.809115281
          0,           0,          73,      -9.477560423,      -9.427993412,      -9.184073872,      -8.920673751,      -8.858897787
          0,           0,          74,      -9.522992663,      -9.471830575,      -9.225807983,      -8.963951686,      -8.901965754
          0,           0,          75,       -9.56211785,      -9.507855312,      -9.265867979,      -9.004688786,      -8.938662082
          0,           0,          76,      -9.600689565,      -9.544728777,      -9.305875275,      -9.043883715,      -8.975884477
          0,           0,          77,      -9.642371605,      -9.586155489,      -9.346320377,      -9.082604347,      -9.016467507
          0,           0,          78,      -9.684242589,      -9.627314074,        -9.3852166,      -9.120169833,      -9.056777449
          0,           0,          79,      -9.735461808,       -9.68486571,      -9.436823296,      -9.162712994,      -9.111066791
          0,           0,          80,      -9.786889334,      -9.740755133,      -9.484426427,      -9.210324877,      -9.162102281
          0,           0,          81,      -9.832610392,       -9.78635695,      -9.534103697,      -9.259653596,      -9.206104456
          0,           0,          82,      -9.874327263,      -9.825403413,       -9.58287061,      -9.308426632,      -9.246265494
          0,           0,          83,      -9.923666358,      -9.878161278,       -9.63826653,      -9.356722483,      -9.299695804
          0,           0,          84,      -9.977293435,      -9.934170483,      -9.690195193,      -9.409447011,      -9.353433289
          0,           0,          85,      -10.02778223,      -9.982710472,      -9.742539076,      -9.462394634,      -9.402064245
