"iter", "L_N", "phi_rad"
1, 3223.7874474881232, 0.011283256066208433
2, 3295.637258133249, 0.011534730403466373
3, 4145.329837706836, 0.014508654431973928
4, 4144.473130661355, 0.014505655957314742
